##Decisions
become_greater_cheat;Become Great Cheat;;;;;;;;;x
become_cheat;Become Cheat;;;;;;;;;x
become_lesser_cheat;Become Cheat;;;;;;;;;x
become_greater_cheat_desc;You've heard from couriers the ways of cheating. Take it a step further.;;;;;;;;;x
become_cheat_desc;You've heard from courtiers the ways of cheating. Sounds fun.;;;;;;;;;x
become_lesser_cheat_desc;You've heard from courtiers the ways of cheating. Sounds fun, but let's not go too far.;;;;;;;;;x
swap_lesser_cheat;Upgrade Cheat;;;;;;;;;x
swap_lesser_cheat_desc;After accumulating a mass of gold and prestige, you decide that cheating would be the best. Right? I mean, you've already done it with the weaker version, why not become the full potential of your powers?;;;;;;;;;x
swap_cheat;Upgrade Geater Cheat;;;;;;;;;x
swap_cheat_desc;After accumulating a mass of gold and prestige, you decide that cheating would be the best. Right? I mean, you've already done it with the weaker version, why not become the full potential of your powers?;;;;;;;;;x

cheat_gold;Conjure Gold;;;;;;;;;;;x
cheat_gold_desc;Using my cheatery, I can conjure up some gold.;;;;;;;;;;;x
cheat_piety;Conjure Piety;;;;;;;;;;;x
cheat_piety_desc;Using my cheatery, I can conjure up some Piety.;;;;;;;;;;;x
cheat_prestige;Conjure Prestige;;;;;;;;;;;x
cheat_prestige_desc;Using my cheatery, I can conjure up some Prestige.;;;;;;;;;;;x
cheat_revoke;Revoke All Vassal Titles;;;;;;;;;x
cheat_revoke_desc;Using my extensive influence and power, I can convince my landed vassals to repeal ownership of their lands.;;;;;;;;;x
cheat_religious_conversion;Religious Conversion;;;;;;;;;x
cheat_culture_conversion;Culture Assimilation;;;;;;;;;x
cheat_religious_conversion_desc;Using my extensive influence and power, I can convince local populaces to convert to the one and true faith.;;;;;;;;;x
cheat_culture_conversion_desc;Using my extensive influence and power, I can convince local populaces to assimilate into my culture.;;;;;;;;;xcheat_remove_bad_modifiers_from_provinces;Remove Bad Province Modifiers;;;;;;;;;x
cheat_remove_bad_modifiers_from_provinces_desc;After you conquer those provinces, you get those pesky modifiers on administration. Remove them.;;;;;;;;;x
cheat_kill;Kill;;;;;;;;;x
cheat_kill_desc;You said what about my mum?;;;;;;;;;x


##Spawn
cspawn_enable;Show Character Spawn Menu;;;;;;;;;;;;;x
cspawn_enable_desc;Show Character Spawn Menu;;;;;;;;;;;;;x

cspawn_disable;Hide Character Spawn Menu;;;;;;;;;;;;;x
cspawn_disable_desc;Hide Character Spawn Menu;;;;;;;;;;;;;x

hide_spawn_child;----Hide Child Menu;;;;;;;;;;;;;x
hide_spawn_child_desc;Hide Child Menu;;;;;;;;;;;;;x

show_spawn_child;----Show Child Menu;;;;;;;;;;;;;x
show_spawn_child_desc;Show Child Menu;;;;;;;;;;;;;x

hide_spawn_sibling;----Hide Sibling Menu;;;;;;;;;;;;;x
hide_spawn_sibling_desc;Hide Sibling Menu;;;;;;;;;;;;;x

show_spawn_sibling;----Show Sibling Menu;;;;;;;;;;;;;x
show_spawn_sibling_desc;Show Sibling Menu;;;;;;;;;;;;;x

hide_spawn_courtier;----Hide Courtier Menu;;;;;;;;;;;;;x
hide_spawn_courtier_desc;Hide Courtier Menu;;;;;;;;;;;;;x

show_spawn_courtier;----Show Courtier Menu;;;;;;;;;;;;;x
show_spawn_courtier_desc;Show Courtier Menu;;;;;;;;;;;;;x

spawn_female_child_0;--------Create Daughter (Age 0);;;;;;;;;;;;;x
spawn_female_child_0_desc;Create a newborn daughter.;;;;;;;;;;;;;x

spawn_male_child_0;--------Create Son (Age 0);;;;;;;;;;;;;x
spawn_male_child_0_desc;Create a newborn son.;;;;;;;;;;;;;x

spawn_female_child_6;--------Create Daughter (Age 6);;;;;;;;;;;;;x
spawn_female_child_6_desc;Create a 6 year old daughter.;;;;;;;;;;;;;x

spawn_male_child_6;--------Create Son (Age 6);;;;;;;;;;;;;x
spawn_male_child_6_desc;Create a 6 year old son.;;;;;;;;;;;;;x

spawn_female_child_16;--------Create Daughter (Age 16);;;;;;;;;;;;;x
spawn_female_child_16_desc;Create a 16 year old daughter.;;;;;;;;;;;;;x

spawn_male_child_16;--------Create Son (Age 16);;;;;;;;;;;;;x
spawn_male_child_16_desc;Create a 16 year old son.;;;;;;;;;;;;;x

spawn_male_sibling_6;--------Create Brother (Age 6);;;;;;;;;;;;;x
spawn_male_sibling_6_desc;Create a 6 year old brother.;;;;;;;;;;;;;x

spawn_male_sibling_16;--------Create Brother (Age 16);;;;;;;;;;;;;x
spawn_male_sibling_16_desc;Create a 16 year old brother.;;;;;;;;;;;;;x

spawn_male_sibling_24;--------Create Brother (Age 24);;;;;;;;;;;;;x
spawn_male_sibling_24_desc;Create a 24 year old brother.;;;;;;;;;;;;;x

spawn_male_sibling_30;--------Create Brother (Age 30);;;;;;;;;;;;;x
spawn_male_sibling_30_desc;Create a 30 year old brother.;;;;;;;;;;;;;x

spawn_male_sibling_40;--------Create Brother (Age 40);;;;;;;;;;;;;x
spawn_male_sibling_40_desc;Create a 40 year old brother.;;;;;;;;;;;;;x

spawn_female_sibling_6;--------Create Sister (Age 6);;;;;;;;;;;;;x
spawn_female_sibling_6_desc;Create a 6 year old sister.;;;;;;;;;;;;;x

spawn_female_sibling_16;--------Create Sister (Age 16);;;;;;;;;;;;;x
spawn_female_sibling_16_desc;Create a 16 year old sister.;;;;;;;;;;;;;x

spawn_female_sibling_24;--------Create Sister (Age 24);;;;;;;;;;;;;x
spawn_female_sibling_24_desc;Create a 24 year old sister.;;;;;;;;;;;;;x

spawn_female_sibling_30;--------Create Sister (Age 30);;;;;;;;;;;;;x
spawn_female_sibling_30_desc;Create a 30 year old sister.;;;;;;;;;;;;;x

spawn_female_sibling_40;--------Create Sister (Age 40);;;;;;;;;;;;;x
spawn_female_sibling_40_desc;Create a 40 year old sister.;;;;;;;;;;;;;x

spawn_chancellor;--------Create A Skilled Chancellor;;;;;;;;;;;;;x
spawn_chancellor_desc;Create A Skilled Chancellor.;;;;;;;;;;;;;x

spawn_female_chancellor;--------Create A Skilled Chancellor;;;;;;;;;;;;;x
spawn_female_chancellor_desc;Create A Skilled Chancellor.;;;;;;;;;;;;;x

spawn_marshal;--------Create A Skilled Marshal;;;;;;;;;;;;;x
spawn_marshal_desc;Create A Skilled Marshal.;;;;;;;;;;;;;x

spawn_female_marshal;--------Create A Skilled Marshal;;;;;;;;;;;;;x
spawn_female_marshal_desc;Create A Skilled Marshal.;;;;;;;;;;;;;x

spawn_steward;--------Create A Skilled Steward;;;;;;;;;;;;;x
spawn_steward_desc;Create A Skilled Steward.;;;;;;;;;;;;;x

spawn_female_steward;--------Create A Skilled Steward;;;;;;;;;;;;;x
spawn_female_steward_desc;Create A Skilled Steward.;;;;;;;;;;;;;x

spawn_spymaster;--------Create A Skilled Spymaster;;;;;;;;;;;;;x
spawn_spymaster_desc;Create A Skilled Spymaster.;;;;;;;;;;;;;x

spawn_female_spymaster;--------Create A Skilled Spymaster;;;;;;;;;;;;;x
spawn_female_spymaster_desc;Create A Skilled Spymaster.;;;;;;;;;;;;;x

spawn_priest;--------Create A Skilled Priest;;;;;;;;;;;;;x
spawn_priest_desc;Create A Skilled Priest.;;;;;;;;;;;;;x

spawn_female_priest;--------Create A Skilled Priest;;;;;;;;;;;;;x
spawn_female_priest_desc;Create A Skilled Priest.;;;;;;;;;;;;;x

